origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
V10_0,V12_0,0.162,1.0,0.162,conexion-vial-cercana
V10_1,V9_1,0.05,1.0,0.05,conexion-vial-cercana
V10_1,V9_0,0.09,1.0,0.09,conexion-vial-cercana
V10_1,V10_0,0.091,1.0,0.091,conexion-vial-cercana
V10_1,V10_2,0.111,1.0,0.111,conexion-vial-cercana
V10_1,V8_1,0.121,1.0,0.121,conexion-vial-cercana
V10_1,V9_2,0.121,1.0,0.121,conexion-vial-cercana
V10_1,V21_0,0.121,1.0,0.121,conexion-vial-cercana
V10_1,V21_1,0.121,1.0,0.121,conexion-vial-cercana
V10_2,V9_2,0.01,1.0,0.01,conexion-vial-cercana
V10_2,V21_0,0.01,1.0,0.01,conexion-vial-cercana
V10_2,V21_1,0.01,1.0,0.01,conexion-vial-cercana
V10_2,V22_0,0.031,1.0,0.031,conexion-vial-cercana
V10_2,V22_1,0.031,1.0,0.031,conexion-vial-cercana
V10_2,V8_0,0.049,1.0,0.049,conexion-vial-cercana
V10_2,V18_0,0.052,1.0,0.052,conexion-vial-cercana
V10_2,V21_2,0.052,1.0,0.052,conexion-vial-cercana
V11_0,V16_0,0.0,1.0,0.0,conexion-vial-cercana
V11_0,V16_1,0.028,1.0,0.028,conexion-vial-cercana
V11_0,V17_2,0.03,1.0,0.03,conexion-vial-cercana
V11_0,V17_1,0.031,1.0,0.031,conexion-vial-cercana
V11_0,V17_0,0.045,1.0,0.045,conexion-vial-cercana
V11_0,V16_2,0.05,1.0,0.05,conexion-vial-cercana
V11_0,V11_1,0.231,1.0,0.231,conexion-vial-cercana
V11_0,V15_2,0.286,1.0,0.286,conexion-vial-cercana
V11_1,V15_2,0.056,1.0,0.056,conexion-vial-cercana
V11_1,V14_2,0.103,1.0,0.103,conexion-vial-cercana
V11_1,V13_2,0.103,1.0,0.103,conexion-vial-cercana
V11_1,V14_0,0.111,1.0,0.111,conexion-vial-cercana
V11_1,V14_1,0.111,1.0,0.111,conexion-vial-cercana
V11_1,V15_1,0.124,1.0,0.124,conexion-vial-cercana
V11_1,V13_1,0.131,1.0,0.131,conexion-vial-cercana
V11_1,V11_2,0.133,1.0,0.133,conexion-vial-cercana
V11_2,V12_1,0.02,1.0,0.02,conexion-vial-cercana
V11_2,V12_2,0.025,1.0,0.025,conexion-vial-cercana
V11_2,V13_1,0.029,1.0,0.029,conexion-vial-cercana
V11_2,V14_2,0.032,1.0,0.032,conexion-vial-cercana
V11_2,V12_0,0.034,1.0,0.034,conexion-vial-cercana
V11_2,V14_0,0.034,1.0,0.034,conexion-vial-cercana
V11_2,V14_1,0.034,1.0,0.034,conexion-vial-cercana
V11_2,V13_2,0.049,1.0,0.049,conexion-vial-cercana
V12_0,V13_1,0.011,1.0,0.011,conexion-vial-cercana
V12_0,V12_1,0.019,1.0,0.019,conexion-vial-cercana
V12_0,V14_0,0.03,1.0,0.03,conexion-vial-cercana
V12_0,V14_1,0.03,1.0,0.03,conexion-vial-cercana
V12_0,V11_2,0.034,1.0,0.034,conexion-vial-cercana
V12_0,V12_2,0.037,1.0,0.037,conexion-vial-cercana
V12_0,V13_2,0.04,1.0,0.04,conexion-vial-cercana
V12_0,V15_1,0.048,1.0,0.048,conexion-vial-cercana
V12_1,V12_2,0.018,1.0,0.018,conexion-vial-cercana
V12_1,V12_0,0.019,1.0,0.019,conexion-vial-cercana
V12_1,V11_2,0.02,1.0,0.02,conexion-vial-cercana
V12_1,V13_1,0.022,1.0,0.022,conexion-vial-cercana
V12_1,V14_0,0.038,1.0,0.038,conexion-vial-cercana
V12_1,V14_1,0.038,1.0,0.038,conexion-vial-cercana
V12_1,V14_2,0.05,1.0,0.05,conexion-vial-cercana
V12_1,V13_0,0.05,1.0,0.05,conexion-vial-cercana
V12_2,V12_1,0.018,1.0,0.018,conexion-vial-cercana
V12_2,V11_2,0.025,1.0,0.025,conexion-vial-cercana
V12_2,V13_0,0.037,1.0,0.037,conexion-vial-cercana
V12_2,V12_0,0.037,1.0,0.037,conexion-vial-cercana
V12_2,V13_1,0.04,1.0,0.04,conexion-vial-cercana
V12_2,V14_0,0.054,1.0,0.054,conexion-vial-cercana
V12_2,V14_1,0.054,1.0,0.054,conexion-vial-cercana
V12_2,V14_2,0.056,1.0,0.056,conexion-vial-cercana
V13_0,V12_2,0.037,1.0,0.037,conexion-vial-cercana
V13_0,V12_1,0.05,1.0,0.05,conexion-vial-cercana
V13_0,V11_2,0.062,1.0,0.062,conexion-vial-cercana
V13_0,V12_0,0.064,1.0,0.064,conexion-vial-cercana
V13_0,V13_1,0.071,1.0,0.071,conexion-vial-cercana
V13_0,V14_0,0.088,1.0,0.088,conexion-vial-cercana
V13_0,V14_1,0.088,1.0,0.088,conexion-vial-cercana
V13_0,V14_2,0.093,1.0,0.093,conexion-vial-cercana
V13_1,V12_0,0.011,1.0,0.011,conexion-vial-cercana
V13_1,V14_0,0.02,1.0,0.02,conexion-vial-cercana
V13_1,V14_1,0.02,1.0,0.02,conexion-vial-cercana
V13_1,V12_1,0.022,1.0,0.022,conexion-vial-cercana
V13_1,V11_2,0.029,1.0,0.029,conexion-vial-cercana
V13_1,V13_2,0.031,1.0,0.031,conexion-vial-cercana
V13_1,V12_2,0.04,1.0,0.04,conexion-vial-cercana
V13_1,V14_2,0.045,1.0,0.045,conexion-vial-cercana
V13_2,V14_0,0.015,1.0,0.015,conexion-vial-cercana
V13_2,V14_1,0.015,1.0,0.015,conexion-vial-cercana
V13_2,V13_1,0.031,1.0,0.031,conexion-vial-cercana
V13_2,V15_1,0.034,1.0,0.034,conexion-vial-cercana
V13_2,V12_0,0.04,1.0,0.04,conexion-vial-cercana
V13_2,V14_2,0.043,1.0,0.043,conexion-vial-cercana
V13_2,V11_2,0.049,1.0,0.049,conexion-vial-cercana
V13_2,V15_2,0.05,1.0,0.05,conexion-vial-cercana
V14_0,V14_1,0.0,1.0,0.0,conexion-vial-cercana
V14_0,V13_2,0.015,1.0,0.015,conexion-vial-cercana
V14_0,V13_1,0.02,1.0,0.02,conexion-vial-cercana
V14_0,V12_0,0.03,1.0,0.03,conexion-vial-cercana
V14_0,V14_2,0.034,1.0,0.034,conexion-vial-cercana
V14_0,V11_2,0.034,1.0,0.034,conexion-vial-cercana
V14_0,V12_1,0.038,1.0,0.038,conexion-vial-cercana
V14_0,V15_1,0.043,1.0,0.043,conexion-vial-cercana
V14_1,V14_0,0.0,1.0,0.0,conexion-vial-cercana
V14_1,V13_2,0.015,1.0,0.015,conexion-vial-cercana
V14_1,V13_1,0.02,1.0,0.02,conexion-vial-cercana
V14_1,V12_0,0.03,1.0,0.03,conexion-vial-cercana
V14_1,V14_2,0.034,1.0,0.034,conexion-vial-cercana
V14_1,V11_2,0.034,1.0,0.034,conexion-vial-cercana
V14_1,V12_1,0.038,1.0,0.038,conexion-vial-cercana
V14_1,V15_1,0.043,1.0,0.043,conexion-vial-cercana
V14_2,V11_2,0.032,1.0,0.032,conexion-vial-cercana
V14_2,V14_0,0.034,1.0,0.034,conexion-vial-cercana
V14_2,V14_1,0.034,1.0,0.034,conexion-vial-cercana
V14_2,V13_2,0.043,1.0,0.043,conexion-vial-cercana
V14_2,V13_1,0.045,1.0,0.045,conexion-vial-cercana
V14_2,V12_1,0.05,1.0,0.05,conexion-vial-cercana
V14_2,V12_0,0.055,1.0,0.055,conexion-vial-cercana
V14_2,V12_2,0.056,1.0,0.056,conexion-vial-cercana
V15_0,V15_1,0.131,1.0,0.131,conexion-vial-cercana
V15_0,V12_0,0.163,1.0,0.163,conexion-vial-cercana
V15_0,V13_2,0.165,1.0,0.165,conexion-vial-cercana
V15_0,V13_1,0.168,1.0,0.168,conexion-vial-cercana
V15_0,V14_0,0.173,1.0,0.173,conexion-vial-cercana
V15_0,V14_1,0.173,1.0,0.173,conexion-vial-cercana
V15_0,V12_1,0.181,1.0,0.181,conexion-vial-cercana
V15_0,V15_2,0.186,1.0,0.186,conexion-vial-cercana
V15_1,V13_2,0.034,1.0,0.034,conexion-vial-cercana
V15_1,V14_0,0.043,1.0,0.043,conexion-vial-cercana
V15_1,V14_1,0.043,1.0,0.043,conexion-vial-cercana
V15_1,V13_1,0.045,1.0,0.045,conexion-vial-cercana
V15_1,V12_0,0.048,1.0,0.048,conexion-vial-cercana
V15_1,V12_1,0.066,1.0,0.066,conexion-vial-cercana
V15_1,V15_2,0.068,1.0,0.068,conexion-vial-cercana
V15_1,V11_2,0.073,1.0,0.073,conexion-vial-cercana
V15_2,V13_2,0.05,1.0,0.05,conexion-vial-cercana
V15_2,V11_1,0.056,1.0,0.056,conexion-vial-cercana
V15_2,V14_0,0.06,1.0,0.06,conexion-vial-cercana
V15_2,V14_1,0.06,1.0,0.06,conexion-vial-cercana
V15_2,V14_2,0.065,1.0,0.065,conexion-vial-cercana
V15_2,V15_1,0.068,1.0,0.068,conexion-vial-cercana
V15_2,V13_1,0.08,1.0,0.08,conexion-vial-cercana
V15_2,V11_2,0.089,1.0,0.089,conexion-vial-cercana
V16_0,V11_0,0.0,1.0,0.0,conexion-vial-cercana
V16_0,V16_1,0.028,1.0,0.028,conexion-vial-cercana
V16_0,V17_2,0.03,1.0,0.03,conexion-vial-cercana
V16_0,V17_1,0.031,1.0,0.031,conexion-vial-cercana
V16_0,V17_0,0.045,1.0,0.045,conexion-vial-cercana
V16_0,V16_2,0.05,1.0,0.05,conexion-vial-cercana
V16_0,V11_1,0.231,1.0,0.231,conexion-vial-cercana
V16_0,V15_2,0.286,1.0,0.286,conexion-vial-cercana
V16_1,V17_1,0.01,1.0,0.01,conexion-vial-cercana
V16_1,V17_0,0.019,1.0,0.019,conexion-vial-cercana
V16_1,V17_2,0.02,1.0,0.02,conexion-vial-cercana
V16_1,V16_2,0.023,1.0,0.023,conexion-vial-cercana
V16_1,V11_0,0.028,1.0,0.028,conexion-vial-cercana
V16_1,V16_0,0.028,1.0,0.028,conexion-vial-cercana
V16_1,V11_1,0.224,1.0,0.224,conexion-vial-cercana
V16_1,V15_2,0.278,1.0,0.278,conexion-vial-cercana
V16_2,V17_0,0.021,1.0,0.021,conexion-vial-cercana
V16_2,V16_1,0.023,1.0,0.023,conexion-vial-cercana
V16_2,V17_1,0.027,1.0,0.027,conexion-vial-cercana
V16_2,V17_2,0.039,1.0,0.039,conexion-vial-cercana
V16_2,V11_0,0.05,1.0,0.05,conexion-vial-cercana
V16_2,V16_0,0.05,1.0,0.05,conexion-vial-cercana
V16_2,V11_1,0.231,1.0,0.231,conexion-vial-cercana
V16_2,V15_2,0.284,1.0,0.284,conexion-vial-cercana
V17_0,V17_1,0.014,1.0,0.014,conexion-vial-cercana
V17_0,V16_1,0.019,1.0,0.019,conexion-vial-cercana
V17_0,V16_2,0.021,1.0,0.021,conexion-vial-cercana
V17_0,V17_2,0.022,1.0,0.022,conexion-vial-cercana
V17_0,V11_0,0.045,1.0,0.045,conexion-vial-cercana
V17_0,V16_0,0.045,1.0,0.045,conexion-vial-cercana
V17_0,V11_1,0.211,1.0,0.211,conexion-vial-cercana
V17_0,V15_2,0.264,1.0,0.264,conexion-vial-cercana
V17_1,V16_1,0.01,1.0,0.01,conexion-vial-cercana
V17_1,V17_2,0.012,1.0,0.012,conexion-vial-cercana
V17_1,V17_0,0.014,1.0,0.014,conexion-vial-cercana
V17_1,V16_2,0.027,1.0,0.027,conexion-vial-cercana
V17_1,V11_0,0.031,1.0,0.031,conexion-vial-cercana
V17_1,V16_0,0.031,1.0,0.031,conexion-vial-cercana
V17_1,V11_1,0.215,1.0,0.215,conexion-vial-cercana
V17_1,V15_2,0.269,1.0,0.269,conexion-vial-cercana
V17_2,V17_1,0.012,1.0,0.012,conexion-vial-cercana
V17_2,V16_1,0.02,1.0,0.02,conexion-vial-cercana
V17_2,V17_0,0.022,1.0,0.022,conexion-vial-cercana
V17_2,V11_0,0.03,1.0,0.03,conexion-vial-cercana
V17_2,V16_0,0.03,1.0,0.03,conexion-vial-cercana
V17_2,V16_2,0.039,1.0,0.039,conexion-vial-cercana
V17_2,V11_1,0.207,1.0,0.207,conexion-vial-cercana
V17_2,V15_2,0.261,1.0,0.261,conexion-vial-cercana
V18_0,V21_2,0.0,1.0,0.0,conexion-vial-cercana
V18_0,V8_0,0.013,1.0,0.013,conexion-vial-cercana
V18_0,V22_2,0.019,1.0,0.019,conexion-vial-cercana
V18_0,V23_0,0.019,1.0,0.019,conexion-vial-cercana
V18_0,V22_0,0.034,1.0,0.034,conexion-vial-cercana
V18_0,V22_1,0.034,1.0,0.034,conexion-vial-cercana
V18_0,V9_2,0.042,1.0,0.042,conexion-vial-cercana
V18_0,V21_0,0.042,1.0,0.042,conexion-vial-cercana
V18_1,V18_2,0.274,1.0,0.274,conexion-vial-cercana
V18_1,V23_1,0.283,1.0,0.283,conexion-vial-cercana
V18_1,V24_2,0.32,1.0,0.32,conexion-vial-cercana
V18_1,V24_1,0.359,1.0,0.359,conexion-vial-cercana
V18_1,V24_0,0.375,1.0,0.375,conexion-vial-cercana
V18_1,V22_2,0.449,1.0,0.449,conexion-vial-cercana
V18_1,V23_0,0.449,1.0,0.449,conexion-vial-cercana
V18_1,V18_0,0.455,1.0,0.455,conexion-vial-cercana
V18_2,V23_1,0.013,1.0,0.013,conexion-vial-cercana
V18_2,V18_1,0.274,1.0,0.274,conexion-vial-cercana
V18_2,V60_0,0.381,1.0,0.381,conexion-vial-cercana
V18_2,V60_1,0.402,1.0,0.402,conexion-vial-cercana
V18_2,V60_2,0.423,1.0,0.423,conexion-vial-cercana
V18_2,V24_2,0.567,1.0,0.567,conexion-vial-cercana
V18_2,V24_1,0.603,1.0,0.603,conexion-vial-cercana
V18_2,V24_0,0.617,1.0,0.617,conexion-vial-cercana
V19_0,V23_2,0.021,1.0,0.021,conexion-vial-cercana
V19_0,V68_0,0.024,1.0,0.024,conexion-vial-cercana
V19_0,V20_1,0.048,1.0,0.048,conexion-vial-cercana
V19_0,V20_0,0.075,1.0,0.075,conexion-vial-cercana
V19_0,V20_2,0.093,1.0,0.093,conexion-vial-cercana
V19_0,V19_1,0.163,1.0,0.163,conexion-vial-cercana
V19_0,V68_1,0.232,1.0,0.232,conexion-vial-cercana
V19_0,V60_2,0.299,1.0,0.299,conexion-vial-cercana
V19_1,V20_2,0.07,1.0,0.07,conexion-vial-cercana
V19_1,V19_0,0.163,1.0,0.163,conexion-vial-cercana
V19_1,V20_1,0.175,1.0,0.175,conexion-vial-cercana
V19_1,V23_2,0.18,1.0,0.18,conexion-vial-cercana
V19_1,V68_0,0.183,1.0,0.183,conexion-vial-cercana
V19_1,V20_0,0.221,1.0,0.221,conexion-vial-cercana
V19_1,V68_1,0.231,1.0,0.231,conexion-vial-cercana
V19_1,V19_2,0.271,1.0,0.271,conexion-vial-cercana
V19_2,V19_1,0.271,1.0,0.271,conexion-vial-cercana
V19_2,V20_2,0.339,1.0,0.339,conexion-vial-cercana
V19_2,V68_1,0.368,1.0,0.368,conexion-vial-cercana
V19_2,V19_0,0.43,1.0,0.43,conexion-vial-cercana
V19_2,V23_2,0.443,1.0,0.443,conexion-vial-cercana
V19_2,V20_1,0.446,1.0,0.446,conexion-vial-cercana
V19_2,V68_0,0.447,1.0,0.447,conexion-vial-cercana
V19_2,V20_0,0.492,1.0,0.492,conexion-vial-cercana
V20_0,V20_1,0.047,1.0,0.047,conexion-vial-cercana
V20_0,V19_0,0.075,1.0,0.075,conexion-vial-cercana
V20_0,V68_0,0.076,1.0,0.076,conexion-vial-cercana
V20_0,V23_2,0.077,1.0,0.077,conexion-vial-cercana
V20_0,V20_2,0.154,1.0,0.154,conexion-vial-cercana
V20_0,V19_1,0.221,1.0,0.221,conexion-vial-cercana
V20_0,V60_2,0.228,1.0,0.228,conexion-vial-cercana
V20_0,V60_1,0.25,1.0,0.25,conexion-vial-cercana
V20_1,V20_0,0.047,1.0,0.047,conexion-vial-cercana
V20_1,V19_0,0.048,1.0,0.048,conexion-vial-cercana
V20_1,V23_2,0.062,1.0,0.062,conexion-vial-cercana
V20_1,V68_0,0.064,1.0,0.064,conexion-vial-cercana
V20_1,V20_2,0.108,1.0,0.108,conexion-vial-cercana
V20_1,V19_1,0.175,1.0,0.175,conexion-vial-cercana
V20_1,V60_2,0.256,1.0,0.256,conexion-vial-cercana
V20_1,V60_1,0.277,1.0,0.277,conexion-vial-cercana
V20_2,V19_1,0.07,1.0,0.07,conexion-vial-cercana
V20_2,V19_0,0.093,1.0,0.093,conexion-vial-cercana
V20_2,V20_1,0.108,1.0,0.108,conexion-vial-cercana
V20_2,V23_2,0.11,1.0,0.11,conexion-vial-cercana
V20_2,V68_0,0.114,1.0,0.114,conexion-vial-cercana
V20_2,V20_0,0.154,1.0,0.154,conexion-vial-cercana
V20_2,V68_1,0.219,1.0,0.219,conexion-vial-cercana
V20_2,V19_2,0.339,1.0,0.339,conexion-vial-cercana
V21_0,V9_2,0.0,1.0,0.0,conexion-vial-cercana
V21_0,V21_1,0.0,1.0,0.0,conexion-vial-cercana
V21_0,V10_2,0.01,1.0,0.01,conexion-vial-cercana
V21_0,V22_0,0.024,1.0,0.024,conexion-vial-cercana
V21_0,V22_1,0.024,1.0,0.024,conexion-vial-cercana
V21_0,V8_0,0.04,1.0,0.04,conexion-vial-cercana
V21_0,V18_0,0.042,1.0,0.042,conexion-vial-cercana
V21_0,V21_2,0.042,1.0,0.042,conexion-vial-cercana
V21_1,V9_2,0.0,1.0,0.0,conexion-vial-cercana
V21_1,V21_0,0.0,1.0,0.0,conexion-vial-cercana
V21_1,V10_2,0.01,1.0,0.01,conexion-vial-cercana
V21_1,V22_0,0.024,1.0,0.024,conexion-vial-cercana
V21_1,V22_1,0.024,1.0,0.024,conexion-vial-cercana
V21_1,V8_0,0.04,1.0,0.04,conexion-vial-cercana
V21_1,V18_0,0.042,1.0,0.042,conexion-vial-cercana
V21_1,V21_2,0.042,1.0,0.042,conexion-vial-cercana
V21_2,V18_0,0.0,1.0,0.0,conexion-vial-cercana
V21_2,V8_0,0.013,1.0,0.013,conexion-vial-cercana
V21_2,V22_2,0.019,1.0,0.019,conexion-vial-cercana
V21_2,V23_0,0.019,1.0,0.019,conexion-vial-cercana
V21_2,V22_0,0.034,1.0,0.034,conexion-vial-cercana
V21_2,V22_1,0.034,1.0,0.034,conexion-vial-cercana
V21_2,V9_2,0.042,1.0,0.042,conexion-vial-cercana
V21_2,V21_0,0.042,1.0,0.042,conexion-vial-cercana
V22_0,V22_1,0.0,1.0,0.0,conexion-vial-cercana
V22_0,V9_2,0.024,1.0,0.024,conexion-vial-cercana
V22_0,V21_0,0.024,1.0,0.024,conexion-vial-cercana
V22_0,V21_1,0.024,1.0,0.024,conexion-vial-cercana
V22_0,V8_0,0.025,1.0,0.025,conexion-vial-cercana
V22_0,V10_2,0.031,1.0,0.031,conexion-vial-cercana
V22_0,V18_0,0.034,1.0,0.034,conexion-vial-cercana
V22_0,V21_2,0.034,1.0,0.034,conexion-vial-cercana
V22_1,V22_0,0.0,1.0,0.0,conexion-vial-cercana
V22_1,V9_2,0.024,1.0,0.024,conexion-vial-cercana
V22_1,V21_0,0.024,1.0,0.024,conexion-vial-cercana
V22_1,V21_1,0.024,1.0,0.024,conexion-vial-cercana
V22_1,V8_0,0.025,1.0,0.025,conexion-vial-cercana
V22_1,V10_2,0.031,1.0,0.031,conexion-vial-cercana
V22_1,V18_0,0.034,1.0,0.034,conexion-vial-cercana
V22_1,V21_2,0.034,1.0,0.034,conexion-vial-cercana
V22_2,V23_0,0.0,1.0,0.0,conexion-vial-cercana
V22_2,V8_0,0.012,1.0,0.012,conexion-vial-cercana
V22_2,V18_0,0.019,1.0,0.019,conexion-vial-cercana
V22_2,V21_2,0.019,1.0,0.019,conexion-vial-cercana
V22_2,V22_0,0.034,1.0,0.034,conexion-vial-cercana
V22_2,V22_1,0.034,1.0,0.034,conexion-vial-cercana
V22_2,V9_2,0.052,1.0,0.052,conexion-vial-cercana
V22_2,V21_0,0.052,1.0,0.052,conexion-vial-cercana
V23_0,V22_2,0.0,1.0,0.0,conexion-vial-cercana
V23_0,V8_0,0.012,1.0,0.012,conexion-vial-cercana
V23_0,V18_0,0.019,1.0,0.019,conexion-vial-cercana
V23_0,V21_2,0.019,1.0,0.019,conexion-vial-cercana
V23_0,V22_0,0.034,1.0,0.034,conexion-vial-cercana
V23_0,V22_1,0.034,1.0,0.034,conexion-vial-cercana
V23_0,V9_2,0.052,1.0,0.052,conexion-vial-cercana
V23_0,V21_0,0.052,1.0,0.052,conexion-vial-cercana
V23_1,V18_2,0.013,1.0,0.013,conexion-vial-cercana
V23_1,V18_1,0.283,1.0,0.283,conexion-vial-cercana
V23_1,V60_0,0.372,1.0,0.372,conexion-vial-cercana
V23_1,V60_1,0.393,1.0,0.393,conexion-vial-cercana
V23_1,V60_2,0.414,1.0,0.414,conexion-vial-cercana
V23_1,V24_2,0.573,1.0,0.573,conexion-vial-cercana
V23_1,V24_1,0.608,1.0,0.608,conexion-vial-cercana
V23_1,V24_0,0.622,1.0,0.622,conexion-vial-cercana
V23_2,V68_0,0.004,1.0,0.004,conexion-vial-cercana
V23_2,V19_0,0.021,1.0,0.021,conexion-vial-cercana
V23_2,V20_1,0.062,1.0,0.062,conexion-vial-cercana
V23_2,V20_0,0.077,1.0,0.077,conexion-vial-cercana
V23_2,V20_2,0.11,1.0,0.11,conexion-vial-cercana
V23_2,V19_1,0.18,1.0,0.18,conexion-vial-cercana
V23_2,V68_1,0.226,1.0,0.226,conexion-vial-cercana
V23_2,V60_2,0.305,1.0,0.305,conexion-vial-cercana
V24_0,V24_1,0.018,1.0,0.018,conexion-vial-cercana
V24_0,V24_2,0.058,1.0,0.058,conexion-vial-cercana
V24_0,V22_2,0.073,1.0,0.073,conexion-vial-cercana
V24_0,V23_0,0.073,1.0,0.073,conexion-vial-cercana
V24_0,V18_0,0.081,1.0,0.081,conexion-vial-cercana
V24_0,V21_2,0.081,1.0,0.081,conexion-vial-cercana
V24_0,V8_0,0.084,1.0,0.084,conexion-vial-cercana
V24_0,V22_0,0.108,1.0,0.108,conexion-vial-cercana
V24_1,V24_0,0.018,1.0,0.018,conexion-vial-cercana
V24_1,V24_2,0.04,1.0,0.04,conexion-vial-cercana
V24_1,V22_2,0.091,1.0,0.091,conexion-vial-cercana
V24_1,V23_0,0.091,1.0,0.091,conexion-vial-cercana
V24_1,V18_0,0.097,1.0,0.097,conexion-vial-cercana
V24_1,V21_2,0.097,1.0,0.097,conexion-vial-cercana
V24_1,V8_0,0.101,1.0,0.101,conexion-vial-cercana
V24_1,V22_0,0.125,1.0,0.125,conexion-vial-cercana
V24_2,V24_1,0.04,1.0,0.04,conexion-vial-cercana
V24_2,V24_0,0.058,1.0,0.058,conexion-vial-cercana
V24_2,V22_2,0.13,1.0,0.13,conexion-vial-cercana
V24_2,V23_0,0.13,1.0,0.13,conexion-vial-cercana
V24_2,V18_0,0.136,1.0,0.136,conexion-vial-cercana
V24_2,V21_2,0.136,1.0,0.136,conexion-vial-cercana
V24_2,V8_0,0.14,1.0,0.14,conexion-vial-cercana
V24_2,V22_0,0.165,1.0,0.165,conexion-vial-cercana
V25_0,V4_0,0.051,1.0,0.051,conexion-vial-cercana
V25_0,V25_1,0.1,1.0,0.1,conexion-vial-cercana
V25_0,V25_2,0.141,1.0,0.141,conexion-vial-cercana
V25_0,V4_1,0.147,1.0,0.147,conexion-vial-cercana
V25_0,V4_2,0.276,1.0,0.276,conexion-vial-cercana
V25_0,V0_2,1.018,1.0,1.018,conexion-vial-cercana
V25_0,V0_1,1.221,1.0,1.221,conexion-vial-cercana
V25_0,V6_2,1.38,1.0,1.38,conexion-vial-cercana
V25_1,V25_2,0.041,1.0,0.041,conexion-vial-cercana
V25_1,V4_1,0.047,1.0,0.047,conexion-vial-cercana
V25_1,V25_0,0.1,1.0,0.1,conexion-vial-cercana
V25_1,V4_0,0.151,1.0,0.151,conexion-vial-cercana
V25_1,V4_2,0.177,1.0,0.177,conexion-vial-cercana
V25_1,V0_2,1.086,1.0,1.086,conexion-vial-cercana
V25_1,V0_1,1.289,1.0,1.289,conexion-vial-cercana
V25_1,V6_2,1.394,1.0,1.394,conexion-vial-cercana
V25_2,V4_1,0.015,1.0,0.015,conexion-vial-cercana
V25_2,V25_1,0.041,1.0,0.041,conexion-vial-cercana
V25_2,V4_2,0.136,1.0,0.136,conexion-vial-cercana
V25_2,V25_0,0.141,1.0,0.141,conexion-vial-cercana
V25_2,V4_0,0.191,1.0,0.191,conexion-vial-cercana
V25_2,V0_2,1.118,1.0,1.118,conexion-vial-cercana
V25_2,V0_1,1.32,1.0,1.32,conexion-vial-cercana
V25_2,V6_2,1.406,1.0,1.406,conexion-vial-cercana
V26_0,V27_2,0.0,1.0,0.0,conexion-vial-cercana
V26_0,V38_2,0.016,1.0,0.016,conexion-vial-cercana
V26_0,V26_1,0.053,1.0,0.053,conexion-vial-cercana
V26_0,V38_0,0.074,1.0,0.074,conexion-vial-cercana
V26_0,V38_1,0.074,1.0,0.074,conexion-vial-cercana
V26_0,V27_0,0.076,1.0,0.076,conexion-vial-cercana
V26_0,V27_1,0.076,1.0,0.076,conexion-vial-cercana
V26_0,V40_1,0.079,1.0,0.079,conexion-vial-cercana
V26_1,V26_2,0.03,1.0,0.03,conexion-vial-cercana
V26_1,V42_0,0.03,1.0,0.03,conexion-vial-cercana
V26_1,V43_0,0.036,1.0,0.036,conexion-vial-cercana
V26_1,V43_2,0.052,1.0,0.052,conexion-vial-cercana
V26_1,V26_0,0.053,1.0,0.053,conexion-vial-cercana
V26_1,V27_2,0.053,1.0,0.053,conexion-vial-cercana
V26_1,V38_2,0.055,1.0,0.055,conexion-vial-cercana
V26_1,V42_1,0.055,1.0,0.055,conexion-vial-cercana
V26_2,V42_0,0.0,1.0,0.0,conexion-vial-cercana
V26_2,V43_0,0.016,1.0,0.016,conexion-vial-cercana
V26_2,V42_1,0.025,1.0,0.025,conexion-vial-cercana
V26_2,V43_1,0.027,1.0,0.027,conexion-vial-cercana
V26_2,V26_1,0.03,1.0,0.03,conexion-vial-cercana
V26_2,V43_2,0.043,1.0,0.043,conexion-vial-cercana
V26_2,V44_1,0.045,1.0,0.045,conexion-vial-cercana
V26_2,V41_0,0.055,1.0,0.055,conexion-vial-cercana
V27_0,V27_1,0.0,1.0,0.0,conexion-vial-cercana
V27_0,V38_0,0.017,1.0,0.017,conexion-vial-cercana
V27_0,V38_1,0.017,1.0,0.017,conexion-vial-cercana
V27_0,V26_0,0.076,1.0,0.076,conexion-vial-cercana
V27_0,V27_2,0.076,1.0,0.076,conexion-vial-cercana
V27_0,V38_2,0.078,1.0,0.078,conexion-vial-cercana
V27_0,V40_1,0.128,1.0,0.128,conexion-vial-cercana
V27_0,V26_1,0.129,1.0,0.129,conexion-vial-cercana
V27_1,V27_0,0.0,1.0,0.0,conexion-vial-cercana
V27_1,V38_0,0.017,1.0,0.017,conexion-vial-cercana
V27_1,V38_1,0.017,1.0,0.017,conexion-vial-cercana
V27_1,V26_0,0.076,1.0,0.076,conexion-vial-cercana
V27_1,V27_2,0.076,1.0,0.076,conexion-vial-cercana
V27_1,V38_2,0.078,1.0,0.078,conexion-vial-cercana
V27_1,V40_1,0.128,1.0,0.128,conexion-vial-cercana
V27_1,V26_1,0.129,1.0,0.129,conexion-vial-cercana
V27_2,V26_0,0.0,1.0,0.0,conexion-vial-cercana
V27_2,V38_2,0.016,1.0,0.016,conexion-vial-cercana
V27_2,V26_1,0.053,1.0,0.053,conexion-vial-cercana
V27_2,V38_0,0.074,1.0,0.074,conexion-vial-cercana
V27_2,V38_1,0.074,1.0,0.074,conexion-vial-cercana
V27_2,V27_0,0.076,1.0,0.076,conexion-vial-cercana
