origen,destino,distancia_km,factor_trafico,peso,tipo_ruta
V56_1,V56_2,0.155,1.0,0.155,vial-vial
V57_0,V57_1,0.277,1.0,0.277,vial-vial
V57_1,V57_2,0.209,1.0,0.209,vial-vial
V58_0,V58_1,0.0,1.0,0.0,vial-vial
V58_1,V58_2,0.096,1.0,0.096,vial-vial
V59_0,V59_1,0.098,1.0,0.098,vial-vial
V59_1,V59_2,0.272,1.0,0.272,vial-vial
V60_0,V60_1,0.022,1.0,0.022,vial-vial
V60_1,V60_2,0.022,1.0,0.022,vial-vial
V61_0,V61_1,0.0,1.0,0.0,vial-vial
V61_1,V61_2,0.045,1.0,0.045,vial-vial
V62_0,V62_1,0.0,1.0,0.0,vial-vial
V62_1,V62_2,0.035,1.0,0.035,vial-vial
V63_0,V63_1,0.044,1.0,0.044,vial-vial
V63_1,V63_2,0.105,1.0,0.105,vial-vial
V64_0,V64_1,0.0,1.0,0.0,vial-vial
V64_1,V64_2,0.026,1.0,0.026,vial-vial
V65_0,V65_1,0.153,1.0,0.153,vial-vial
V65_1,V65_2,0.039,1.0,0.039,vial-vial
V66_0,V66_1,0.051,1.0,0.051,vial-vial
V66_1,V66_2,0.104,1.0,0.104,vial-vial
V67_0,V67_1,0.0,1.0,0.0,vial-vial
V67_1,V67_2,0.107,1.0,0.107,vial-vial
V68_0,V68_1,0.227,1.0,0.227,vial-vial
V68_1,V68_2,0.302,1.0,0.302,vial-vial
V69_0,V69_1,0.297,1.0,0.297,vial-vial
V69_1,V69_2,0.355,1.0,0.355,vial-vial
V70_0,V70_1,0.011,1.0,0.011,vial-vial
V70_1,V70_2,0.009,1.0,0.009,vial-vial
V71_0,V71_1,0.0,1.0,0.0,vial-vial
V71_1,V71_2,0.01,1.0,0.01,vial-vial
V72_0,V72_1,0.0,1.0,0.0,vial-vial
V72_1,V72_2,0.013,1.0,0.013,vial-vial
V73_0,V73_1,0.059,1.0,0.059,vial-vial
V73_1,V73_2,0.071,1.0,0.071,vial-vial
V74_0,V74_1,1.547,1.0,1.547,vial-vial
V74_1,V74_2,1.493,1.0,1.493,vial-vial
V75_0,V75_1,0.114,1.0,0.114,vial-vial
V75_1,V75_2,0.083,1.0,0.083,vial-vial
V76_0,V76_1,0.0,1.0,0.0,vial-vial
V76_1,V76_2,0.007,1.0,0.007,vial-vial
V77_0,V77_1,0.074,1.0,0.074,vial-vial
V77_1,V77_2,0.041,1.0,0.041,vial-vial
V78_0,V78_1,0.105,1.0,0.105,vial-vial
V78_1,V78_2,0.158,1.0,0.158,vial-vial
V79_0,V79_1,0.092,1.0,0.092,vial-vial
V79_1,V79_2,0.043,1.0,0.043,vial-vial
relation/11632168,V3_2,0.339,1.0,0.339,hospital-vial
relation/11632168,V55_1,0.452,1.0,0.452,hospital-vial
relation/11632168,V52_2,0.486,1.0,0.486,hospital-vial
way/27804337,V16_2,0.876,1.0,0.876,hospital-vial
